number,name,x,y
1,Bar da Priscila,"-22,555,293","-44,960,046"
2,Praça São Cristovão,"-22,556,462","-44,960,896"
3,Padoca da Fiel,"-22,557,084","-44,960,746"
4,Izabelle Davi Doces e Bolo,"-22,556,282","-44,959,400"
5,Equipax Indústria,"-22,555,867","-44,959,605"
6,Gioavana Restaurante,"-22,557,995","-44,961,870"
7,Delcafe Assesoria,"-22,558,534","-44,961,652"
8,Buffet Maria Clara,"-22,557,649","-44,960,583"
9,ICT - Inglês com Tecnologia,"-22,559,576","-44,962,776"
10,Mika Burgue's,"-22,560,112","-44,961,001"
11,Comida Caseira Pé da Serra,"-22,559,659","-44,959,711"
12,Resturante Primavera,"-22,561,558","-44,961,611"
13,Colégio Dinâmico,"-22,561,185","-44,960,539"
14,ABA - Associação,"-22,557,601","-44,958,462"
15,Coifas Cruzeiro,"-22,557,279","-44,957,951"
16,AD - Cruzeiro Seg. Retiro,"-22,557,096","-44,957,688"
17,Adega do Robinho,"-22,556,794","-44,957,178"
18,Colégio Adventista,"-22,558,188","-44,960,361"
19,Le Talton,"-22,558,054","-44,958,185"
20,Igreja Evangelho Quadrangular,"22,558,621","-44,960,215"
21,Delegacia Seccional,"-22,559,159","-44,959,963"
22,Ita Fortes,"-22,558,536","-44,957,868"
23,Ari Calhas,"-22,558,286","-44,956,133"
24,Bar e Mercearia do Zeze,"-22,559,529","-44,957,173"
25,Pops Lanches,"-22,559,583","-44,957,137"
26,Comerical Biondini,"-22,558,761","-44,955,804"
27,Galvão Baterias,"-22,559,236","-44,955,497"
28,Esquina,"-22,555,636","-44,962,902"
29,Esquina,"-22,555,412","-44,962,300"
30,Esquina,"-22,555,199","-44,961,723"
31,Esquina,"-22,557,224","-44,961,519"
32,Esquina,"-22,557,017","-44,960,954"
33,Esquina,"-22,554,771","-44,960,927"
34,Esquina,"-22,555,959","-44,960,876"
35,Esquina,"-22,555,274","-44,959,366"
36,Esquina,"-22,555,778","-44,959,714"
37,Esquina,"-22,556,988","-44,960,783"
38,Esquina,"-22,557,464","-44,962,104"
39,Esquina,"-22,556,746","-44,959,066"
40,Esquina,"-22,557,191","-44,958,753"
41,Esquina,"-22,556,322","-44,958,820"
42,Esquina,"-22,555,827","-44,958,495"
43,Esquina,"-22,559,064","-44,961,429"
44,Esquina,"-22,559,587","-44,961,231"
45,Esquina,"-22,560,650","-44,960,765"
46,Esquina,"-22,559,089","-44,963,134"
47,Esquina,"-22,558,921","-44,963,289"
48,Esquina,"-22,560,754","-44,959,337"
49,Esquina,"-22,560,178","-44,959,513"
50,Esquina,"-22,559,023","-44,957,522"
51,Esquina,"-22,559,103","-44,957,453"
52,Esquina,"-22,558,795","-44,956,941"
53,Esquina,"-22,560,080","-44,956,941"
54,Esquina,"-22,555,901","-44,962,791"
55,Esquina,"-22,556,405","-44,962,575"
56,Esquina,"-22,556,913","-44,962,337"
57,Esquina,"-22,557,683","-44,960,988"
58,Esquina,"-22,558,231","-44,960,801"
59,Esquina,"-22,559,290","-44,960,342"
60,Esquina,"-22,559,813","-44,960,102"
61,Esquina,"-22,560,925","-44,961,502"
62,Esquina,"-22,560,496","-44,961,961"
63,Esquina,"-22,560,020","-44,962,280"
64,Esquina,"-22,559,311","-44,963,035"
65,Esquina,"-22,559,840","-44,962,625"
66,Esquina,"-22,560,356","-44,962,299"
67,Esquina,"-22,560,927","-44,961,973"
68,Esquina,"-22,560,353","-44,959,936"
69,Esquina,"-22,554,633","-44,960,515"
70,Esquina,"-22,561,619","-44,961,566"
