point,value
A1,43
A2,23
A3,22
A4,12
A5,24
A6,23
A7,22
A8,22
A9,25
A10,21
A11,2
A12,22
A13,2
A14,22
A15,0
A16,65
A17,63
A18,40
A19,24
A20,75
A21,24
A22,12
A23,25
A24,55
A25,23
A26,33
A27,45
A28,64
A29,72
A30,24
A31,23
A32,95
A33,94
A34,90
A35,85
A36,84
A37,76
A38,83
A39,74
A40,21
A41,25
A42,23
A43,24
A44,20
A45,25
A46,23
A47,23
A48,26
A49,45
A50,50
A51,16
A52,2
A53,7
A54,82
A55,82
A56,46
A57,25
A58,28
A59,12
A60,23
A61,24
A62,25
A63,24
A64,24
A65,25
A66,35
A67,25
A68,35
A69,23
A70,50
A71,24
A72,31
A73,25
A74,39
A75,34
A76,25
A77,25
A78,50
A79,45
A80,1
A81,32
A82,42
A83,45
A84,57
A85,73
A86,72
A87,12
A88,10
A89,14
A90,12
A91,25
A92,28
A93,33
A94,55
A95,8
